year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1999.855,-1.01,,,
1999.8822,-1.41,,,
1999.9092,1.59,,,
1999.9636,7.79,,,
1999.9907,5.89,,,
2000.0178,-2.91,,,
2000.045,-3.01,,,
2000.0721,3.59,,,
2000.0993,0.89,,,
2000.1264,-1.41,,,
2000.1536,-4.41,,,
2000.1807,-9.11,,,
2000.2078,-9.41,,,
2000.235,-1.01,,,
2000.2894,-2.41,,,
2000.3165,-8.31,,,
2000.3436,-12.71,,,
2000.3707,-12.11,,,
2000.3978,-8.21,,,
2000.425,-3.71,,,
2000.4522,-4.81,,,
2000.4794,-7.91,,,
2000.5065,-9.51,,,
2000.5337,-6.01,,,
2000.5879,-1.81,,,
2000.6149,0.29,,,
2000.6423,-1.01,,,
2000.6694,-6.41,,,
2000.6965,-1.81,,,
2000.7235,7.99,,,
2000.7509,13.19,,,
2000.778,12.29,,,
2000.8051,4.99,,,
2000.8595,4.89,,,
2000.886,7.79,,,
2000.9145,9.49,,,
2000.9409,6.89,,,
2000.9681,2.89,,,
2000.9952,2.59,,,
2001.0222,2.59,,,
2001.0766,4.09,,,
2001.1038,0.59,,,
2001.1309,-6.31,,,
2001.1581,-5.41,,,
2001.1852,0.59,,,
2001.2124,-0.51,,,
2001.2395,3.29,,,
2001.2666,0.59,,,
2001.2937,-2.71,,,
2001.321,-6.81,,,
2001.3482,-5.01,,,
2001.3752,0.49,,,
2001.4024,0.39,,,
2001.4296,-1.21,,,
2001.4567,-6.21,,,
2001.484,-0.71,,,
2001.511,2.19,,,
2001.5381,7.09,,,
2001.5653,4.69,,,
2001.5924,6.69,,,
2001.6195,0.39,,,
2001.6468,0.09,,,
2001.6738,5.59,,,
2001.701,15.89,,,
2001.7283,16.89,,,
2001.7553,15.09,,,
2001.7825,7.89,,,
2001.8096,4.19,,,
2001.8368,11.79,,,
2001.8639,16.69,,,
2001.8918,14.69,,,
2001.9182,11.09,,,
2001.9454,4.89,,,
2001.9725,3.79,,,
2001.9996,10.49,,,
2002.027,7.19,,,
2002.0537,,0.38,,
2002.054,5.19,,,
2002.0811,3.79,,,
2002.0819,,5.98,,
2002.1083,-1.51,6.58,,
2002.1352,,6.68,,
2002.1354,-0.01,,,
2002.1626,4.59,5.28,,
2002.1897,5.09,,,
2002.1898,,-0.92,,
2002.2168,5.29,,,
2002.2169,,0.58,,
2002.2438,,-0.82,,
2002.244,-0.41,,,
2002.2711,-2.41,,,
2002.2713,,3.88,,
2002.2983,,-0.52,,
2002.2988,-6.21,,,
2002.3254,0.29,0.18,,
2002.3525,,-0.22,,
2002.3527,3.89,,,
2002.3797,3.59,1.58,,
2002.4069,1.29,0.68,,
2002.434,-5.51,-1.82,,
2002.4611,-1.01,1.78,,
2002.4883,8.99,4.68,,
2002.5155,,2.98,,
2002.5426,6.69,5.98,,
2002.5697,4.69,9.18,,
2002.5969,4.49,10.58,,
2002.6239,8.19,,,
2002.624,,12.38,,
2002.6512,,10.58,,
2002.6551,13.59,,,
2002.6783,15.19,,,
2002.6784,,9.78,,
2002.7055,,10.98,,
2002.7064,15.99,,,
2002.7326,14.29,,,
2002.7327,,14.68,,
2002.7598,,13.78,,
2002.7599,6.89,,,
2002.7863,15.59,,,
2002.7869,,18.08,,
2002.8141,,21.08,,
2002.8143,23.69,,,
2002.8413,,13.38,,
2002.8415,20.59,,,
2002.8684,19.29,13.58,,
2002.8943,,16.88,,
2002.8962,18.39,,,
2002.9227,17.59,15.08,,
2002.9498,17.39,14.18,,
2002.977,16.69,10.88,,
2003.0041,,9.18,,
2003.0042,16.69,,,
2003.0312,12.19,,,
2003.0313,,7.98,,
2003.0584,12.09,11.88,,
2003.0856,6.79,10.98,,
2003.1127,11.49,12.58,,
2003.1398,8.69,,,
2003.1399,,6.58,,
2003.167,12.59,,,
2003.1671,,4.28,,
2003.1942,12.39,5.98,,
2003.2212,6.59,,,
2003.2213,,6.88,,
2003.2484,6.79,,,
2003.2485,,5.58,,
2003.2756,6.99,,,
2003.2799,,5.48,,
2003.3028,10.19,3.08,,
2003.3299,12.99,,,
2003.33,,3.88,,
2003.357,13.99,5.28,,
2003.3842,9.09,5.58,,
2003.4113,,5.48,,
2003.4114,4.79,,,
2003.4385,7.19,2.78,,
2003.4657,11.89,3.88,,
2003.4928,10.19,1.98,,
2003.52,6.79,3.28,,
2003.547,7.89,,,
2003.5471,,7.98,,
2003.5741,3.19,,,
2003.5742,,7.48,,
2003.6014,11.09,9.98,,
2003.6286,13.29,8.38,,
2003.6556,18.69,,,
2003.6557,,12.58,,
2003.6827,18.69,,,
2003.6829,,15.58,,
2003.71,10.69,17.08,,
2003.7371,,17.98,,
